Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
40,MCTS,49.930000,1275.000000,34.000000,685.000000,20/4/2017 - 21:29:14,6,11,3,9,3148.000000,64.000000,765.000000,20/4/2017 - 21:29:36,6,11,3,5,20/4/2017 - 21:29:37
41,GOAP,49.742001,765.000000,30.000000,385.000000,20/4/2017 - 21:29:49,6,10,4,0,1614.000000,42.000000,445.000000,20/4/2017 - 21:30:7,6,5,6,0,20/4/2017 - 21:30:28
42,MCTS,73.545998,1171.000000,42.000000,590.000000,20/4/2017 - 21:31:27,9,12,8,8,5456.000000,72.000000,784.000000,20/4/2017 - 21:31:43,6,13,8,29,20/4/2017 - 21:31:43
43,GOAP,152.459000,1735.000000,48.000000,966.000000,20/4/2017 - 21:32:46,16,30,14,20,7014.000000,56.000000,1028.000000,20/4/2017 - 21:34:4,7,32,16,28,20/4/2017 - 21:34:20
44,MCTS,92.683998,1621.000000,42.000000,850.000000,20/4/2017 - 21:35:14,11,17,9,10,4567.000000,84.000000,1020.000000,20/4/2017 - 21:35:55,6,19,9,21,20/4/2017 - 21:35:55
45,GOAP,102.320999,2312.000000,56.000000,1000.000000,20/4/2017 - 21:37:8,8,20,11,39,1673.000000,52.000000,867.000000,20/4/2017 - 21:37:16,10,23,8,31,20/4/2017 - 21:37:40
46,MCTS,52.964001,1248.000000,50.000000,630.000000,20/4/2017 - 21:38:25,6,10,5,8,2185.000000,52.000000,840.000000,20/4/2017 - 21:38:34,6,13,2,17,20/4/2017 - 21:38:35
47,GOAP,154.190002,3962.000000,60.000000,1075.000000,20/4/2017 - 21:39:37,10,42,9,30,3844.000000,66.000000,1119.000000,20/4/2017 - 21:39:52,10,42,9,36,20/4/2017 - 21:41:13
48,MCTS,196.128998,3350.000000,56.000000,1090.000000,20/4/2017 - 21:43:14,17,43,17,27,4436.000000,66.000000,953.000000,20/4/2017 - 21:44:29,18,43,16,36,20/4/2017 - 21:44:34
49,MCTS,47.490002,2011.000000,40.000000,770.000000,20/4/2017 - 21:44:59,6,4,7,25,1428.000000,66.000000,613.000000,20/4/2017 - 21:45:23,6,10,3,11,20/4/2017 - 21:45:23
50,MCTS,48.535000,1115.000000,42.000000,560.000000,20/4/2017 - 21:45:55,6,10,3,4,2865.000000,48.000000,830.000000,20/4/2017 - 21:46:13,6,9,4,18,20/4/2017 - 21:46:13
