Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,GOAP,53.919998,2350.000000,46.000000,882.000000,21/4/2017 - 14:59:37,7,10,5,15,1213.000000,32.000000,630.000000,21/4/2017 - 14:59:17,6,7,7,5,21/4/2017 - 14:59:38
2,MCTS,50.766998,1713.000000,40.000000,935.000000,21/4/2017 - 15:0:10,6,8,5,23,1727.000000,68.000000,712.000000,21/4/2017 - 15:0:30,6,10,4,14,21/4/2017 - 15:0:30
3,GOAP,36.879002,970.000000,60.000000,410.000000,21/4/2017 - 15:1:1,6,9,1,2,1542.000000,42.000000,475.000000,21/4/2017 - 15:0:56,6,5,3,11,21/4/2017 - 15:1:8
4,MCTS,20.364000,727.000000,16.000000,370.000000,21/4/2017 - 15:1:19,6,0,3,1,1550.000000,42.000000,443.000000,21/4/2017 - 15:1:29,6,3,0,0,21/4/2017 - 15:1:29
5,MCTS,188.931000,3129.000000,50.000000,1018.000000,21/4/2017 - 15:4:18,18,39,18,22,3506.000000,72.000000,1064.000000,21/4/2017 - 15:2:45,12,37,18,58,21/4/2017 - 15:4:43
6,MCTS,107.043999,4362.000000,60.000000,1052.000000,21/4/2017 - 15:6:9,8,19,13,27,1700.000000,74.000000,825.000000,21/4/2017 - 15:5:25,11,23,9,33,21/4/2017 - 15:6:33
7,GOAP,81.602997,1842.000000,60.000000,870.000000,21/4/2017 - 15:6:58,7,15,9,26,3967.000000,70.000000,1004.000000,21/4/2017 - 15:7:46,7,12,11,30,21/4/2017 - 15:7:57
8,MCTS,61.740002,1131.000000,40.000000,555.000000,21/4/2017 - 15:8:31,6,10,7,5,5115.000000,62.000000,760.000000,21/4/2017 - 15:9:0,6,11,2,4,21/4/2017 - 15:9:0
9,MCTS,75.647003,1062.000000,46.000000,510.000000,21/4/2017 - 15:9:28,11,12,8,4,3715.000000,66.000000,634.000000,21/4/2017 - 15:10:18,6,14,8,7,21/4/2017 - 15:10:18
10,GOAP,101.418999,5398.000000,58.000000,940.000000,21/4/2017 - 15:12:1,8,23,8,18,1281.000000,42.000000,645.000000,21/4/2017 - 15:11:42,12,20,9,16,21/4/2017 - 15:12:3
11,GOAP,34.596001,1947.000000,62.000000,645.000000,21/4/2017 - 15:12:37,6,8,1,4,986.000000,36.000000,440.000000,21/4/2017 - 15:12:23,6,5,3,2,21/4/2017 - 15:12:38
12,MCTS,49.867001,1124.000000,34.000000,555.000000,21/4/2017 - 15:13:6,6,10,4,5,3476.000000,62.000000,905.000000,21/4/2017 - 15:13:30,6,12,2,16,21/4/2017 - 15:13:30
13,GOAP,57.519001,1158.000000,38.000000,565.000000,21/4/2017 - 15:13:57,6,10,6,2,917.000000,44.000000,445.000000,21/4/2017 - 15:13:57,6,11,5,1,21/4/2017 - 15:14:29
14,MCTS,96.216003,755.000000,40.000000,385.000000,21/4/2017 - 15:14:41,14,18,8,0,7766.000000,52.000000,600.000000,21/4/2017 - 15:16:7,6,15,11,8,21/4/2017 - 15:16:8
15,GOAP,38.157001,865.000000,44.000000,370.000000,21/4/2017 - 15:16:45,6,8,2,3,2251.000000,42.000000,465.000000,21/4/2017 - 15:16:42,6,5,3,0,21/4/2017 - 15:16:47
16,GOAP,57.544998,2000.000000,52.000000,845.000000,21/4/2017 - 15:17:17,6,10,6,19,1625.000000,60.000000,775.000000,21/4/2017 - 15:17:22,6,10,6,11,21/4/2017 - 15:17:46
17,MCTS,75.555000,1635.000000,34.000000,675.000000,21/4/2017 - 15:18:48,10,12,8,18,2026.000000,46.000000,665.000000,21/4/2017 - 15:18:20,6,14,8,23,21/4/2017 - 15:19:4
18,MCTS,62.543999,1287.000000,44.000000,645.000000,21/4/2017 - 15:19:46,8,10,7,8,2683.000000,62.000000,775.000000,21/4/2017 - 15:20:8,6,9,8,15,21/4/2017 - 15:20:8
19,GOAP,165.401993,2822.000000,62.000000,1063.000000,21/4/2017 - 15:21:47,12,34,17,32,4117.000000,62.000000,1105.000000,21/4/2017 - 15:22:34,10,30,16,70,21/4/2017 - 15:22:58
20,GOAP,37.526001,906.000000,50.000000,431.000000,21/4/2017 - 15:23:33,6,10,0,1,1719.000000,46.000000,570.000000,21/4/2017 - 15:23:32,6,5,4,2,21/4/2017 - 15:23:36
21,MCTS,42.895000,750.000000,30.000000,385.000000,21/4/2017 - 15:23:49,6,10,2,0,3036.000000,50.000000,450.000000,21/4/2017 - 15:24:20,6,5,1,0,21/4/2017 - 15:24:20
22,MCTS,57.101002,999.000000,20.000000,490.000000,21/4/2017 - 15:24:51,6,8,7,4,3667.000000,62.000000,670.000000,21/4/2017 - 15:25:19,6,10,5,2,21/4/2017 - 15:25:19
23,MCTS,107.595001,1653.000000,40.000000,790.000000,21/4/2017 - 15:26:32,10,20,11,22,4492.000000,72.000000,763.000000,21/4/2017 - 15:27:9,9,20,8,40,21/4/2017 - 15:27:9
24,MCTS,55.513000,1176.000000,36.000000,615.000000,21/4/2017 - 15:27:49,7,10,5,4,3396.000000,46.000000,690.000000,21/4/2017 - 15:28:6,6,6,8,9,21/4/2017 - 15:28:6
25,MCTS,77.671997,760.000000,40.000000,375.000000,21/4/2017 - 15:29:8,12,12,8,1,5979.000000,64.000000,501.000000,21/4/2017 - 15:29:26,6,14,9,0,21/4/2017 - 15:29:26
26,MCTS,79.629997,1353.000000,40.000000,690.000000,21/4/2017 - 15:29:54,9,11,10,9,3779.000000,60.000000,918.000000,21/4/2017 - 15:30:48,7,14,9,22,21/4/2017 - 15:30:48
27,GOAP,45.709000,2150.000000,72.000000,835.000000,21/4/2017 - 15:31:35,6,11,2,18,1565.000000,60.000000,710.000000,21/4/2017 - 15:31:19,6,10,3,14,21/4/2017 - 15:31:35
28,MCTS,68.174004,1351.000000,44.000000,711.000000,21/4/2017 - 15:32:12,7,11,8,11,3576.000000,76.000000,890.000000,21/4/2017 - 15:32:45,6,13,7,7,21/4/2017 - 15:32:45
29,MCTS,69.625000,1553.000000,34.000000,830.000000,21/4/2017 - 15:33:24,8,11,8,10,4056.000000,62.000000,1003.000000,21/4/2017 - 15:33:57,6,10,9,24,21/4/2017 - 15:33:57
30,MCTS,70.992996,2232.000000,48.000000,962.000000,21/4/2017 - 15:34:57,8,10,9,18,2367.000000,66.000000,1006.000000,21/4/2017 - 15:35:10,6,13,8,20,21/4/2017 - 15:35:10
31,MCTS,94.584999,1397.000000,44.000000,755.000000,21/4/2017 - 15:36:28,11,18,9,14,3054.000000,68.000000,1026.000000,21/4/2017 - 15:36:25,8,16,10,77,21/4/2017 - 15:36:47
32,MCTS,81.389000,1184.000000,34.000000,585.000000,21/4/2017 - 15:37:11,11,14,8,5,4412.000000,58.000000,710.000000,21/4/2017 - 15:38:11,7,15,9,3,21/4/2017 - 15:38:11
33,GOAP,117.883003,2442.000000,46.000000,1081.000000,21/4/2017 - 15:38:46,15,26,8,17,5579.000000,62.000000,1207.000000,21/4/2017 - 15:40:7,7,18,13,33,21/4/2017 - 15:40:12
34,MCTS,48.971001,1327.000000,34.000000,707.000000,21/4/2017 - 15:40:49,7,10,3,6,2524.000000,64.000000,855.000000,21/4/2017 - 15:41:2,6,12,2,15,21/4/2017 - 15:41:2
35,MCTS,85.356003,1252.000000,34.000000,657.000000,21/4/2017 - 15:42:17,11,15,8,8,2491.000000,60.000000,735.000000,21/4/2017 - 15:41:45,7,16,9,42,21/4/2017 - 15:42:30
36,MCTS,72.767998,1437.000000,30.000000,670.000000,21/4/2017 - 15:43:0,8,11,9,8,4437.000000,50.000000,800.000000,21/4/2017 - 15:43:44,6,11,9,9,21/4/2017 - 15:43:44
37,MCTS,67.397003,2120.000000,50.000000,885.000000,21/4/2017 - 15:44:15,6,11,8,31,2745.000000,44.000000,799.000000,21/4/2017 - 15:44:54,6,10,9,16,21/4/2017 - 15:44:54
38,MCTS,71.348999,1410.000000,32.000000,755.000000,21/4/2017 - 15:45:24,7,12,8,9,3817.000000,62.000000,821.000000,21/4/2017 - 15:46:5,6,11,9,4,21/4/2017 - 15:46:7
39,MCTS,148.759995,2526.000000,44.000000,1052.000000,21/4/2017 - 15:47:10,17,34,10,23,2431.000000,68.000000,1056.000000,21/4/2017 - 15:47:47,9,28,18,36,21/4/2017 - 15:48:40
40,MCTS,91.952003,1800.000000,40.000000,940.000000,21/4/2017 - 15:49:35,9,17,9,23,4740.000000,68.000000,1143.000000,21/4/2017 - 15:50:15,8,16,8,25,21/4/2017 - 15:50:15
41,GOAP,37.995998,878.000000,42.000000,370.000000,21/4/2017 - 15:50:52,6,9,1,4,2005.000000,42.000000,445.000000,21/4/2017 - 15:50:46,6,5,4,0,21/4/2017 - 15:50:54
42,GOAP,215.035004,2613.000000,62.000000,983.000000,21/4/2017 - 15:53:42,19,42,22,32,7231.000000,70.000000,920.000000,21/4/2017 - 15:52:54,11,36,25,118,21/4/2017 - 15:54:34
43,MCTS,64.948997,1124.000000,30.000000,580.000000,21/4/2017 - 15:55:2,6,11,7,3,4132.000000,62.000000,897.000000,21/4/2017 - 15:55:40,6,10,8,11,21/4/2017 - 15:55:41
44,GOAP,40.275002,1958.000000,46.000000,809.000000,21/4/2017 - 15:56:22,6,9,2,9,1362.000000,42.000000,615.000000,21/4/2017 - 15:56:1,6,5,4,6,21/4/2017 - 15:56:22
45,MCTS,96.875999,820.000000,32.000000,376.000000,21/4/2017 - 15:57:53,12,19,8,2,7640.000000,66.000000,535.000000,21/4/2017 - 15:58:1,6,15,12,0,21/4/2017 - 15:58:1
46,MCTS,76.574997,1485.000000,34.000000,731.000000,21/4/2017 - 15:58:44,7,13,9,18,6220.000000,70.000000,812.000000,21/4/2017 - 15:59:20,6,15,8,10,21/4/2017 - 15:59:20
47,GOAP,45.012001,824.000000,34.000000,370.000000,21/4/2017 - 16:0:3,6,10,2,2,2310.000000,50.000000,458.000000,21/4/2017 - 15:59:53,6,6,3,0,21/4/2017 - 16:0:6
48,GOAP,37.458000,2000.000000,56.000000,910.000000,21/4/2017 - 16:0:44,6,8,2,10,1397.000000,42.000000,665.000000,21/4/2017 - 16:0:27,6,5,3,8,21/4/2017 - 16:0:45
49,MCTS,66.213997,1868.000000,46.000000,1010.000000,21/4/2017 - 16:1:20,6,11,8,21,3162.000000,92.000000,1074.000000,21/4/2017 - 16:1:52,6,10,8,21,21/4/2017 - 16:1:53
50,MCTS,65.240997,947.000000,34.000000,461.000000,21/4/2017 - 16:2:35,8,10,7,2,5039.000000,62.000000,737.000000,21/4/2017 - 16:3:0,6,10,8,10,21/4/2017 - 16:3:0
51,MCTS,16.533001,727.000000,22.000000,370.000000,21/4/2017 - 16:3:10,6,2,0,0,990.000000,38.000000,420.000000,21/4/2017 - 16:3:17,5,3,0,0,21/4/2017 - 16:3:17
52,MCTS,143.261993,2666.000000,56.000000,956.000000,21/4/2017 - 16:5:16,13,26,16,50,2019.000000,46.000000,1041.000000,21/4/2017 - 16:4:31,9,26,17,29,21/4/2017 - 16:5:44
53,MCTS,39.451000,1934.000000,24.000000,385.000000,21/4/2017 - 16:6:8,6,1,5,10,848.000000,70.000000,353.000000,21/4/2017 - 16:6:22,6,9,1,0,21/4/2017 - 16:6:25
54,GOAP,40.984001,727.000000,44.000000,370.000000,21/4/2017 - 16:6:37,6,9,2,0,2335.000000,42.000000,451.000000,21/4/2017 - 16:7:3,6,5,3,0,21/4/2017 - 16:7:7
55,MCTS,76.498001,1538.000000,44.000000,796.000000,21/4/2017 - 16:8:0,10,12,8,12,3622.000000,82.000000,986.000000,21/4/2017 - 16:8:25,7,14,8,33,21/4/2017 - 16:8:25
56,MCTS,107.223000,1428.000000,40.000000,762.000000,21/4/2017 - 16:9:36,13,20,10,14,4041.000000,54.000000,884.000000,21/4/2017 - 16:10:15,9,20,10,26,21/4/2017 - 16:10:15
