Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
57,MCTS,57.161999,1695.000000,56.000000,910.000000,21/4/2017 - 16:10:47,6,11,5,15,2979.000000,56.000000,880.000000,21/4/2017 - 16:11:14,6,10,6,16,21/4/2017 - 16:11:14
58,GOAP,35.094002,1593.000000,64.000000,644.000000,21/4/2017 - 16:11:50,6,10,0,4,1092.000000,32.000000,520.000000,21/4/2017 - 16:11:32,6,5,3,3,21/4/2017 - 16:11:50
59,MCTS,15.498000,737.000000,22.000000,370.000000,21/4/2017 - 16:12:3,6,1,0,0,948.000000,38.000000,405.000000,21/4/2017 - 16:12:6,4,3,0,0,21/4/2017 - 16:12:6
60,MCTS,14.457000,722.000000,22.000000,370.000000,21/4/2017 - 16:12:16,6,1,0,0,906.000000,36.000000,415.000000,21/4/2017 - 16:12:21,3,3,0,0,21/4/2017 - 16:12:21
61,GOAP,60.307999,2009.000000,70.000000,1120.000000,21/4/2017 - 16:13:1,6,10,7,17,2281.000000,52.000000,1122.000000,21/4/2017 - 16:13:11,6,10,6,28,21/4/2017 - 16:13:23
62,GOAP,52.162998,765.000000,30.000000,385.000000,21/4/2017 - 16:13:35,6,10,4,0,2564.000000,42.000000,465.000000,21/4/2017 - 16:14:3,6,5,5,7,21/4/2017 - 16:14:16
63,GOAP,32.425999,1490.000000,54.000000,521.000000,21/4/2017 - 16:14:50,6,9,0,3,1192.000000,32.000000,440.000000,21/4/2017 - 16:14:39,6,4,3,6,21/4/2017 - 16:14:50
64,MCTS,85.856003,1317.000000,42.000000,655.000000,21/4/2017 - 16:15:38,10,11,11,10,3592.000000,78.000000,869.000000,21/4/2017 - 16:16:18,6,17,9,42,21/4/2017 - 16:16:18
65,MCTS,97.737999,1364.000000,34.000000,620.000000,21/4/2017 - 16:16:50,12,12,13,8,3452.000000,70.000000,1162.000000,21/4/2017 - 16:17:58,7,20,9,49,21/4/2017 - 16:17:58
66,MCTS,67.237999,1678.000000,48.000000,720.000000,21/4/2017 - 16:18:24,6,11,8,15,4029.000000,52.000000,829.000000,21/4/2017 - 16:19:7,6,11,8,13,21/4/2017 - 16:19:7
67,GOAP,45.448002,1051.000000,40.000000,415.000000,21/4/2017 - 16:19:54,6,10,3,2,2806.000000,32.000000,440.000000,21/4/2017 - 16:19:47,6,5,6,0,21/4/2017 - 16:19:54
68,GOAP,39.875000,736.000000,50.000000,370.000000,21/4/2017 - 16:20:33,6,10,1,0,2426.000000,52.000000,475.000000,21/4/2017 - 16:20:31,6,5,3,0,21/4/2017 - 16:20:35
69,MCTS,87.398003,2297.000000,48.000000,1052.000000,21/4/2017 - 16:21:21,8,18,8,18,5386.000000,76.000000,1216.000000,21/4/2017 - 16:22:5,6,18,9,28,21/4/2017 - 16:22:5
70,MCTS,53.417000,1165.000000,44.000000,610.000000,21/4/2017 - 16:22:33,6,10,5,7,3604.000000,64.000000,795.000000,21/4/2017 - 16:22:59,6,10,5,9,21/4/2017 - 16:22:59
71,GOAP,39.304001,1761.000000,60.000000,881.000000,21/4/2017 - 16:23:40,6,9,2,11,1299.000000,32.000000,664.000000,21/4/2017 - 16:23:33,6,5,4,11,21/4/2017 - 16:23:40
72,GOAP,38.446999,825.000000,50.000000,395.000000,21/4/2017 - 16:24:19,6,10,1,0,2527.000000,52.000000,490.000000,21/4/2017 - 16:24:11,6,7,0,0,21/4/2017 - 16:24:19
73,GOAP,160.048996,3705.000000,60.000000,1105.000000,21/4/2017 - 16:27:4,12,33,16,44,3142.000000,60.000000,986.000000,21/4/2017 - 16:25:39,11,31,18,71,21/4/2017 - 16:27:4
74,MCTS,54.431999,1815.000000,50.000000,878.000000,21/4/2017 - 16:27:29,6,9,6,29,2631.000000,80.000000,948.000000,21/4/2017 - 16:28:0,6,11,4,23,21/4/2017 - 16:28:0
75,MCTS,80.817001,2017.000000,42.000000,995.000000,21/4/2017 - 16:28:34,8,15,8,22,5114.000000,72.000000,1052.000000,21/4/2017 - 16:29:23,6,14,10,33,21/4/2017 - 16:29:23
76,MCTS,69.563004,836.000000,34.000000,385.000000,21/4/2017 - 16:29:53,10,10,8,1,1866.000000,50.000000,580.000000,21/4/2017 - 16:29:52,6,12,8,6,21/4/2017 - 16:30:34
77,GOAP,39.851002,1601.000000,54.000000,680.000000,21/4/2017 - 16:31:15,6,10,1,8,1387.000000,42.000000,500.000000,21/4/2017 - 16:30:55,6,4,5,6,21/4/2017 - 16:31:15
78,GOAP,37.240002,1680.000000,66.000000,615.000000,21/4/2017 - 16:31:53,6,9,1,8,1532.000000,42.000000,540.000000,21/4/2017 - 16:31:41,6,5,4,6,21/4/2017 - 16:31:54
79,MCTS,83.097000,1684.000000,46.000000,930.000000,21/4/2017 - 16:32:47,9,13,10,16,3874.000000,52.000000,1156.000000,21/4/2017 - 16:32:58,6,20,0,30,21/4/2017 - 16:33:19
80,GOAP,51.212002,1207.000000,38.000000,531.000000,21/4/2017 - 16:34:11,7,10,4,2,2396.000000,42.000000,510.000000,21/4/2017 - 16:33:57,6,5,8,17,21/4/2017 - 16:34:12
81,MCTS,19.169001,737.000000,22.000000,370.000000,21/4/2017 - 16:34:25,6,3,0,0,1362.000000,32.000000,410.000000,21/4/2017 - 16:34:31,6,3,0,0,21/4/2017 - 16:34:31
82,GOAP,29.073999,1172.000000,48.000000,476.000000,21/4/2017 - 16:35:1,6,5,1,3,1172.000000,38.000000,440.000000,21/4/2017 - 16:34:57,6,5,1,0,21/4/2017 - 16:35:1
83,GOAP,45.547001,1070.000000,54.000000,485.000000,21/4/2017 - 16:35:48,6,10,3,4,2363.000000,42.000000,555.000000,21/4/2017 - 16:35:38,6,6,5,12,21/4/2017 - 16:35:48
84,MCTS,83.823997,1334.000000,44.000000,632.000000,21/4/2017 - 16:36:45,10,14,9,13,4784.000000,72.000000,1130.000000,21/4/2017 - 16:37:14,6,14,8,40,21/4/2017 - 16:37:14
85,GOAP,100.444000,1681.000000,50.000000,804.000000,21/4/2017 - 16:38:10,11,20,9,18,3200.000000,56.000000,907.000000,21/4/2017 - 16:38:51,9,14,11,28,21/4/2017 - 16:38:56
86,MCTS,63.355000,1087.000000,32.000000,434.000000,21/4/2017 - 16:39:42,6,10,7,2,2046.000000,50.000000,542.000000,21/4/2017 - 16:39:31,6,9,8,19,21/4/2017 - 16:40:0
87,MCTS,86.888000,2158.000000,48.000000,750.000000,21/4/2017 - 16:40:34,12,16,8,24,4569.000000,60.000000,953.000000,21/4/2017 - 16:41:29,8,16,9,14,21/4/2017 - 16:41:29
88,MCTS,57.138000,1207.000000,42.000000,590.000000,21/4/2017 - 16:42:9,6,10,6,7,3777.000000,52.000000,815.000000,21/4/2017 - 16:42:28,6,10,5,7,21/4/2017 - 16:42:28
89,GOAP,73.948997,3143.000000,50.000000,1110.000000,21/4/2017 - 16:43:44,7,13,8,18,2317.000000,50.000000,1036.000000,21/4/2017 - 16:43:10,7,12,9,22,21/4/2017 - 16:43:44
90,GOAP,82.407997,1631.000000,88.000000,803.000000,21/4/2017 - 16:45:8,12,14,8,3,3193.000000,80.000000,995.000000,21/4/2017 - 16:44:59,6,14,10,18,21/4/2017 - 16:45:8
91,GOAP,43.535999,755.000000,30.000000,375.000000,21/4/2017 - 16:45:20,6,10,2,0,2397.000000,42.000000,475.000000,21/4/2017 - 16:45:45,6,5,3,15,21/4/2017 - 16:45:52
92,MCTS,68.102997,1562.000000,52.000000,835.000000,21/4/2017 - 16:46:30,7,11,8,9,2607.000000,72.000000,1132.000000,21/4/2017 - 16:46:44,6,10,9,22,21/4/2017 - 16:47:2
93,MCTS,82.491997,1826.000000,46.000000,938.000000,21/4/2017 - 16:47:50,9,16,8,12,4838.000000,66.000000,912.000000,21/4/2017 - 16:48:27,7,16,8,21,21/4/2017 - 16:48:27
94,GOAP,71.097000,1738.000000,50.000000,915.000000,21/4/2017 - 16:49:3,7,12,8,29,2217.000000,50.000000,891.000000,21/4/2017 - 16:49:11,6,11,9,34,21/4/2017 - 16:49:40
95,MCTS,114.936996,1975.000000,42.000000,1020.000000,21/4/2017 - 16:50:7,14,24,9,22,5905.000000,66.000000,1104.000000,21/4/2017 - 16:51:38,6,20,14,24,21/4/2017 - 16:51:38
96,GOAP,45.042000,860.000000,44.000000,370.000000,21/4/2017 - 16:52:21,6,10,2,1,2822.000000,52.000000,470.000000,21/4/2017 - 16:52:13,6,5,3,0,21/4/2017 - 16:52:24
97,GOAP,39.368000,911.000000,54.000000,377.000000,21/4/2017 - 16:53:3,6,10,1,1,2245.000000,42.000000,445.000000,21/4/2017 - 16:52:58,6,4,4,0,21/4/2017 - 16:53:5
98,GOAP,41.812000,1390.000000,52.000000,647.000000,21/4/2017 - 16:53:48,6,10,2,4,1571.000000,32.000000,660.000000,21/4/2017 - 16:53:38,6,5,5,13,21/4/2017 - 16:53:48
99,GOAP,43.348000,1232.000000,62.000000,548.000000,21/4/2017 - 16:54:32,6,10,2,3,2312.000000,52.000000,630.000000,21/4/2017 - 16:54:18,6,5,3,14,21/4/2017 - 16:54:32
100,MCTS,77.427002,963.000000,32.000000,485.000000,21/4/2017 - 16:55:32,11,12,8,2,5570.000000,66.000000,724.000000,21/4/2017 - 16:55:52,6,15,8,8,21/4/2017 - 16:55:52
101,MCTS,48.298000,2458.000000,50.000000,525.000000,21/4/2017 - 16:56:33,6,5,5,1,859.000000,46.000000,349.000000,21/4/2017 - 16:56:39,6,10,3,1,21/4/2017 - 16:56:41
102,GOAP,144.871002,2269.000000,50.000000,1055.000000,21/4/2017 - 16:59:10,13,30,14,46,2474.000000,48.000000,1109.000000,21/4/2017 - 16:58:48,10,28,16,34,21/4/2017 - 16:59:10
