Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,MCTS,76.029999,1607.000000,62.000000,880.000000,20/4/2017 - 18:49:8,8,11,9,12,3046.000000,52.000000,1070.000000,20/4/2017 - 18:49:19,6,20,3,47,20/4/2017 - 18:49:48
2,GOAP,49.299999,1251.000000,38.000000,585.000000,20/4/2017 - 18:50:19,6,10,4,9,1217.000000,46.000000,565.000000,20/4/2017 - 18:50:7,6,6,6,7,20/4/2017 - 18:50:39
3,GOAP,36.543999,1998.000000,68.000000,947.000000,20/4/2017 - 18:51:16,6,10,0,11,1261.000000,42.000000,665.000000,20/4/2017 - 18:51:7,6,5,3,7,20/4/2017 - 18:51:16
4,GOAP,29.980000,1765.000000,56.000000,629.000000,20/4/2017 - 18:51:47,6,8,0,2,915.000000,32.000000,480.000000,20/4/2017 - 18:51:44,6,6,1,4,20/4/2017 - 18:51:47
5,GOAP,45.806999,930.000000,44.000000,396.000000,20/4/2017 - 18:52:33,6,10,3,3,2986.000000,42.000000,475.000000,20/4/2017 - 18:52:29,6,5,4,0,20/4/2017 - 18:52:34
6,MCTS,73.339996,1323.000000,44.000000,660.000000,20/4/2017 - 18:53:14,8,12,8,10,5130.000000,62.000000,982.000000,20/4/2017 - 18:53:49,6,18,0,12,20/4/2017 - 18:53:49
7,MCTS,14.737000,727.000000,22.000000,370.000000,20/4/2017 - 18:54:0,6,1,0,0,980.000000,30.000000,420.000000,20/4/2017 - 18:54:4,5,2,0,0,20/4/2017 - 18:54:5
8,GOAP,27.854000,1664.000000,66.000000,610.000000,20/4/2017 - 18:54:33,6,7,0,2,847.000000,32.000000,410.000000,20/4/2017 - 18:54:26,6,5,1,5,20/4/2017 - 18:54:33
9,MCTS,78.323997,1705.000000,40.000000,780.000000,20/4/2017 - 18:54:59,9,14,8,20,3119.000000,62.000000,1108.000000,20/4/2017 - 18:55:28,6,14,9,47,20/4/2017 - 18:55:54
10,GOAP,38.914001,790.000000,50.000000,370.000000,20/4/2017 - 18:56:32,6,10,1,0,2417.000000,42.000000,455.000000,20/4/2017 - 18:56:24,6,5,2,5,20/4/2017 - 18:56:34
