Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
11,MCTS,69.918999,945.000000,50.000000,466.000000,20/4/2017 - 18:57:5,10,10,8,1,1442.000000,54.000000,720.000000,20/4/2017 - 18:56:54,8,15,5,9,20/4/2017 - 18:57:46
12,GOAP,34.055000,924.000000,52.000000,407.000000,20/4/2017 - 18:58:19,6,9,0,1,1517.000000,42.000000,460.000000,20/4/2017 - 18:58:13,6,5,3,12,20/4/2017 - 18:58:21
13,GOAP,36.634998,959.000000,50.000000,435.000000,20/4/2017 - 18:58:47,6,10,0,2,1687.000000,42.000000,550.000000,20/4/2017 - 18:58:44,6,5,3,7,20/4/2017 - 18:58:58
14,GOAP,36.834999,1697.000000,50.000000,642.000000,20/4/2017 - 18:59:36,6,9,1,6,1197.000000,42.000000,455.000000,20/4/2017 - 18:59:17,6,5,3,5,20/4/2017 - 18:59:36
15,MCTS,41.506001,1547.000000,38.000000,410.000000,20/4/2017 - 19:0:6,6,5,5,0,1348.000000,72.000000,508.000000,20/4/2017 - 19:0:18,6,9,2,2,20/4/2017 - 19:0:19
16,GOAP,43.444000,1131.000000,42.000000,464.000000,20/4/2017 - 19:0:58,6,10,2,5,2244.000000,42.000000,500.000000,20/4/2017 - 19:0:53,6,5,5,19,20/4/2017 - 19:1:4
17,GOAP,47.785999,759.000000,34.000000,370.000000,20/4/2017 - 19:1:26,6,10,3,1,1861.000000,52.000000,610.000000,20/4/2017 - 19:1:27,6,4,6,13,20/4/2017 - 19:1:53
18,GOAP,49.019001,2833.000000,60.000000,992.000000,20/4/2017 - 19:2:43,6,11,3,22,1366.000000,42.000000,715.000000,20/4/2017 - 19:2:25,6,10,3,18,20/4/2017 - 19:2:43
19,MCTS,61.502998,1871.000000,48.000000,815.000000,20/4/2017 - 19:3:18,6,11,6,19,2057.000000,42.000000,864.000000,20/4/2017 - 19:3:46,6,10,7,16,20/4/2017 - 19:3:46
20,GOAP,41.528000,770.000000,40.000000,385.000000,20/4/2017 - 19:3:59,6,10,1,0,1540.000000,42.000000,475.000000,20/4/2017 - 19:4:13,6,6,4,2,20/4/2017 - 19:4:29
21,GOAP,43.640999,1813.000000,64.000000,927.000000,20/4/2017 - 19:5:14,6,10,2,8,1540.000000,42.000000,800.000000,20/4/2017 - 19:5:4,6,5,5,14,20/4/2017 - 19:5:14
22,MCTS,96.372002,1221.000000,30.000000,652.000000,20/4/2017 - 19:6:37,11,11,14,6,3774.000000,72.000000,1032.000000,20/4/2017 - 19:6:53,6,19,10,39,20/4/2017 - 19:6:53
23,GOAP,36.860001,819.000000,50.000000,370.000000,20/4/2017 - 19:7:30,6,9,1,1,2331.000000,42.000000,475.000000,20/4/2017 - 19:7:28,6,5,3,0,20/4/2017 - 19:7:31
24,GOAP,37.667000,2352.000000,58.000000,633.000000,20/4/2017 - 19:8:10,6,10,0,4,1067.000000,32.000000,535.000000,20/4/2017 - 19:7:48,6,5,4,5,20/4/2017 - 19:8:10
25,GOAP,43.749001,770.000000,40.000000,370.000000,20/4/2017 - 19:8:42,6,10,2,0,2556.000000,36.000000,440.000000,20/4/2017 - 19:8:41,6,5,5,2,20/4/2017 - 19:8:55
26,GOAP,40.242001,1102.000000,52.000000,445.000000,20/4/2017 - 19:9:30,6,10,1,5,1950.000000,50.000000,460.000000,20/4/2017 - 19:9:24,6,7,3,11,20/4/2017 - 19:9:36
27,GOAP,40.244999,2413.000000,58.000000,875.000000,20/4/2017 - 19:10:17,6,10,1,11,1497.000000,42.000000,600.000000,20/4/2017 - 19:9:57,6,5,4,8,20/4/2017 - 19:10:17
28,MCTS,131.156006,2061.000000,66.000000,973.000000,20/4/2017 - 19:12:3,11,24,15,31,3764.000000,62.000000,1001.000000,20/4/2017 - 19:12:31,9,31,9,57,20/4/2017 - 19:12:32
29,MCTS,79.987000,2208.000000,48.000000,798.000000,20/4/2017 - 19:13:11,8,15,8,26,4518.000000,60.000000,885.000000,20/4/2017 - 19:13:54,7,15,8,22,20/4/2017 - 19:13:54
30,GOAP,44.498001,920.000000,50.000000,435.000000,20/4/2017 - 19:14:37,6,10,2,1,2812.000000,42.000000,465.000000,20/4/2017 - 19:14:29,6,5,2,12,20/4/2017 - 19:14:40
31,GOAP,34.326000,982.000000,52.000000,425.000000,20/4/2017 - 19:15:15,6,9,0,2,1972.000000,42.000000,445.000000,20/4/2017 - 19:15:8,6,5,1,0,20/4/2017 - 19:15:15
32,GOAP,38.012001,1877.000000,60.000000,701.000000,20/4/2017 - 19:15:54,6,8,2,6,1537.000000,42.000000,590.000000,20/4/2017 - 19:15:42,6,5,4,13,20/4/2017 - 19:15:54
33,GOAP,143.567993,2244.000000,44.000000,1062.000000,20/4/2017 - 19:18:22,18,30,11,27,7226.000000,62.000000,1158.000000,20/4/2017 - 19:18:5,6,24,19,20,20/4/2017 - 19:18:22
34,MCTS,19.908001,727.000000,20.000000,370.000000,20/4/2017 - 19:18:32,6,2,1,1,1485.000000,42.000000,443.000000,20/4/2017 - 19:18:42,6,3,0,0,20/4/2017 - 19:18:42
35,MCTS,125.331001,1657.000000,42.000000,925.000000,20/4/2017 - 19:20:12,18,26,9,26,2701.000000,62.000000,1089.000000,20/4/2017 - 19:19:50,9,20,17,62,20/4/2017 - 19:20:51
36,GOAP,43.094002,788.000000,38.000000,370.000000,20/4/2017 - 19:21:35,6,9,3,0,2797.000000,52.000000,490.000000,20/4/2017 - 19:21:26,6,5,3,0,20/4/2017 - 19:21:35
37,MCTS,94.874001,2034.000000,64.000000,1110.000000,20/4/2017 - 19:22:19,12,18,8,21,5805.000000,76.000000,1115.000000,20/4/2017 - 19:23:13,6,18,11,23,20/4/2017 - 19:23:13
38,MCTS,79.764000,1148.000000,24.000000,542.000000,20/4/2017 - 19:23:46,12,11,9,7,6365.000000,72.000000,855.000000,20/4/2017 - 19:24:35,6,12,9,10,20/4/2017 - 19:24:35
39,MCTS,38.813000,1038.000000,28.000000,490.000000,20/4/2017 - 19:24:56,6,4,5,3,2303.000000,70.000000,735.000000,20/4/2017 - 19:25:15,6,11,0,9,20/4/2017 - 19:25:15
40,MCTS,72.023003,917.000000,40.000000,462.000000,20/4/2017 - 19:25:48,10,10,9,1,6000.000000,72.000000,760.000000,20/4/2017 - 19:26:29,6,13,8,10,20/4/2017 - 19:26:29
41,GOAP,38.511002,1485.000000,56.000000,713.000000,20/4/2017 - 19:27:8,6,10,1,9,1382.000000,42.000000,665.000000,20/4/2017 - 19:26:49,6,5,4,15,20/4/2017 - 19:27:8
42,GOAP,61.888000,3470.000000,50.000000,973.000000,20/4/2017 - 19:28:12,6,11,6,18,1672.000000,38.000000,782.000000,20/4/2017 - 19:27:42,6,10,7,28,20/4/2017 - 19:28:12
43,GOAP,37.952000,775.000000,40.000000,375.000000,20/4/2017 - 19:28:48,6,10,0,0,2197.000000,42.000000,465.000000,20/4/2017 - 19:28:41,6,5,2,2,20/4/2017 - 19:28:51
44,GOAP,29.302999,1181.000000,48.000000,525.000000,20/4/2017 - 19:29:21,6,6,1,5,1020.000000,42.000000,515.000000,20/4/2017 - 19:29:15,6,5,1,3,20/4/2017 - 19:29:21
45,GOAP,50.768002,2154.000000,40.000000,965.000000,20/4/2017 - 19:30:13,6,10,4,14,1588.000000,42.000000,840.000000,20/4/2017 - 19:30:0,6,6,7,18,20/4/2017 - 19:30:13
46,GOAP,59.868000,2061.000000,60.000000,911.000000,20/4/2017 - 19:31:14,6,8,8,16,1851.000000,50.000000,896.000000,20/4/2017 - 19:30:50,6,10,6,14,20/4/2017 - 19:31:15
47,MCTS,50.353001,977.000000,36.000000,480.000000,20/4/2017 - 19:31:40,6,10,4,3,3559.000000,52.000000,875.000000,20/4/2017 - 19:32:6,6,9,1,14,20/4/2017 - 19:32:6
48,GOAP,57.258999,1445.000000,40.000000,639.000000,20/4/2017 - 19:33:5,6,10,6,8,2402.000000,42.000000,720.000000,20/4/2017 - 19:32:48,6,7,8,7,20/4/2017 - 19:33:5
49,MCTS,128.345993,1819.000000,36.000000,769.000000,20/4/2017 - 19:34:35,11,22,15,16,1753.000000,58.000000,752.000000,20/4/2017 - 19:35:17,12,26,12,25,20/4/2017 - 19:35:17
50,MCTS,119.847000,2641.000000,44.000000,815.000000,20/4/2017 - 19:36:57,10,20,15,20,3390.000000,72.000000,879.000000,20/4/2017 - 19:37:20,13,27,8,28,20/4/2017 - 19:37:20
