Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
1,MCTS,100.780998,2058.000000,48.000000,920.000000,20/4/2017 - 17:48:59,12,21,8,32,3200.000000,62.000000,1045.000000,20/4/2017 - 17:50:7,8,20,10,33,20/4/2017 - 17:50:8
2,GOAP,167.516998,3094.000000,70.000000,1094.000000,20/4/2017 - 17:53:0,15,32,18,48,3903.000000,60.000000,845.000000,20/4/2017 - 17:51:27,12,36,16,64,20/4/2017 - 17:53:0
3,GOAP,124.140999,1823.000000,50.000000,1000.000000,20/4/2017 - 17:53:33,17,27,8,22,4867.000000,70.000000,972.000000,20/4/2017 - 17:54:51,9,20,13,27,20/4/2017 - 17:55:8
4,GOAP,40.868000,1131.000000,56.000000,465.000000,20/4/2017 - 17:55:49,6,8,3,3,2307.000000,42.000000,475.000000,20/4/2017 - 17:55:39,6,5,3,0,20/4/2017 - 17:55:50
5,MCTS,15.631000,732.000000,22.000000,370.000000,20/4/2017 - 17:56:0,6,1,0,0,1032.000000,32.000000,410.000000,20/4/2017 - 17:56:6,6,2,0,0,20/4/2017 - 17:56:6
6,GOAP,43.813999,1109.000000,42.000000,550.000000,20/4/2017 - 17:56:49,6,9,3,2,2082.000000,42.000000,730.000000,20/4/2017 - 17:56:45,6,6,5,7,20/4/2017 - 17:56:51
7,MCTS,52.245998,1178.000000,38.000000,585.000000,20/4/2017 - 17:57:31,6,10,4,6,3257.000000,62.000000,830.000000,20/4/2017 - 17:57:44,6,12,3,8,20/4/2017 - 17:57:44
8,GOAP,34.872002,1242.000000,66.000000,466.000000,20/4/2017 - 17:58:20,6,7,2,4,1865.000000,42.000000,443.000000,20/4/2017 - 17:58:14,6,4,3,0,20/4/2017 - 17:58:20
9,GOAP,59.058998,1276.000000,54.000000,620.000000,20/4/2017 - 17:58:49,7,10,6,11,2676.000000,52.000000,880.000000,20/4/2017 - 17:59:16,6,10,6,9,20/4/2017 - 17:59:21
10,GOAP,43.345001,1526.000000,60.000000,585.000000,20/4/2017 - 17:59:47,6,10,2,5,1256.000000,42.000000,580.000000,20/4/2017 - 17:59:52,6,6,5,13,20/4/2017 - 18:0:6
