Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
11,MCTS,115.081001,2813.000000,50.000000,858.000000,20/4/2017 - 18:1:11,12,21,12,17,3256.000000,52.000000,995.000000,20/4/2017 - 18:2:4,10,20,13,21,20/4/2017 - 18:2:4
12,MCTS,61.456001,2430.000000,60.000000,726.000000,20/4/2017 - 18:2:42,6,10,7,31,3027.000000,76.000000,856.000000,20/4/2017 - 18:3:7,6,12,5,11,20/4/2017 - 18:3:7
13,GOAP,46.140999,1892.000000,54.000000,914.000000,20/4/2017 - 18:3:55,6,9,3,21,1547.000000,32.000000,704.000000,20/4/2017 - 18:3:31,6,5,6,17,20/4/2017 - 18:3:55
14,GOAP,102.738998,2242.000000,64.000000,1000.000000,20/4/2017 - 18:5:40,12,22,8,33,2951.000000,50.000000,1081.000000,20/4/2017 - 18:5:20,9,23,8,29,20/4/2017 - 18:5:40
15,MCTS,42.796001,1365.000000,40.000000,570.000000,20/4/2017 - 18:6:7,6,5,5,12,1649.000000,74.000000,726.000000,20/4/2017 - 18:6:24,6,10,2,7,20/4/2017 - 18:6:24
16,GOAP,54.134998,1412.000000,56.000000,645.000000,20/4/2017 - 18:7:20,6,10,5,12,1970.000000,52.000000,910.000000,20/4/2017 - 18:7:10,6,11,2,10,20/4/2017 - 18:7:20
17,GOAP,39.393002,1740.000000,54.000000,819.000000,20/4/2017 - 18:8:0,6,7,3,9,1687.000000,32.000000,610.000000,20/4/2017 - 18:7:43,6,4,5,10,20/4/2017 - 18:8:0
18,GOAP,29.323999,944.000000,52.000000,387.000000,20/4/2017 - 18:8:29,6,7,0,2,1446.000000,36.000000,440.000000,20/4/2017 - 18:8:28,6,5,1,0,20/4/2017 - 18:8:31
19,GOAP,39.305000,1332.000000,56.000000,551.000000,20/4/2017 - 18:9:11,6,7,3,4,2497.000000,42.000000,475.000000,20/4/2017 - 18:9:1,6,5,2,5,20/4/2017 - 18:9:11
20,MCTS,47.882000,977.000000,24.000000,500.000000,20/4/2017 - 18:9:45,6,8,4,3,2568.000000,42.000000,778.000000,20/4/2017 - 18:10:0,6,6,5,8,20/4/2017 - 18:10:0
21,MCTS,77.570999,1025.000000,36.000000,515.000000,20/4/2017 - 18:10:40,11,12,8,3,5715.000000,80.000000,825.000000,20/4/2017 - 18:11:20,6,15,8,9,20/4/2017 - 18:11:20
22,GOAP,37.463001,1403.000000,50.000000,665.000000,20/4/2017 - 18:11:44,6,10,0,5,984.000000,32.000000,503.000000,20/4/2017 - 18:11:46,6,4,4,2,20/4/2017 - 18:11:58
23,MCTS,31.893000,732.000000,30.000000,370.000000,20/4/2017 - 18:12:10,6,5,2,0,2591.000000,52.000000,480.000000,20/4/2017 - 18:12:31,6,5,0,0,20/4/2017 - 18:12:31
24,GOAP,44.570999,2774.000000,72.000000,1169.000000,20/4/2017 - 18:13:17,6,10,2,13,1465.000000,42.000000,765.000000,20/4/2017 - 18:13:3,6,6,5,8,20/4/2017 - 18:13:17
25,GOAP,47.077999,2651.000000,46.000000,905.000000,20/4/2017 - 18:14:5,6,9,4,17,1345.000000,42.000000,690.000000,20/4/2017 - 18:13:49,6,6,6,9,20/4/2017 - 18:14:6
26,GOAP,32.619999,838.000000,56.000000,370.000000,20/4/2017 - 18:14:37,6,7,1,1,1771.000000,38.000000,440.000000,20/4/2017 - 18:14:37,6,5,2,0,20/4/2017 - 18:14:39
27,MCTS,50.889999,974.000000,42.000000,485.000000,20/4/2017 - 18:15:26,6,10,4,2,2388.000000,54.000000,530.000000,20/4/2017 - 18:15:23,6,6,7,10,20/4/2017 - 18:15:32
28,GOAP,47.820999,828.000000,50.000000,393.000000,20/4/2017 - 18:16:19,6,9,4,0,2872.000000,42.000000,447.000000,20/4/2017 - 18:16:9,6,4,4,4,20/4/2017 - 18:16:21
29,GOAP,42.465000,752.000000,40.000000,370.000000,20/4/2017 - 18:16:34,6,10,2,0,2047.000000,52.000000,450.000000,20/4/2017 - 18:16:50,6,5,4,1,20/4/2017 - 18:17:4
30,GOAP,42.026001,900.000000,44.000000,416.000000,20/4/2017 - 18:17:47,6,10,2,1,2302.000000,52.000000,472.000000,20/4/2017 - 18:17:34,6,5,3,12,20/4/2017 - 18:17:48
31,GOAP,43.985001,895.000000,40.000000,450.000000,20/4/2017 - 18:18:27,6,10,2,1,1465.000000,42.000000,495.000000,20/4/2017 - 18:18:19,6,8,3,2,20/4/2017 - 18:18:33
32,GOAP,62.198002,2062.000000,54.000000,1040.000000,20/4/2017 - 18:19:34,6,11,6,14,2165.000000,60.000000,932.000000,20/4/2017 - 18:19:21,6,10,7,20,20/4/2017 - 18:19:37
33,GOAP,43.303001,1452.000000,54.000000,535.000000,20/4/2017 - 18:20:21,6,10,2,4,2281.000000,62.000000,495.000000,20/4/2017 - 18:20:10,6,5,4,12,20/4/2017 - 18:20:22
34,GOAP,33.473999,1560.000000,42.000000,565.000000,20/4/2017 - 18:20:56,6,5,3,2,1125.000000,32.000000,504.000000,20/4/2017 - 18:20:40,6,5,2,1,20/4/2017 - 18:20:56
35,GOAP,40.653000,1226.000000,46.000000,499.000000,20/4/2017 - 18:21:35,6,7,3,8,1287.000000,42.000000,660.000000,20/4/2017 - 18:21:22,6,5,4,6,20/4/2017 - 18:21:38
36,GOAP,44.379002,3613.000000,70.000000,750.000000,20/4/2017 - 18:22:23,6,11,1,3,1100.000000,32.000000,580.000000,20/4/2017 - 18:22:12,6,10,2,10,20/4/2017 - 18:22:23
37,GOAP,36.445999,739.000000,50.000000,370.000000,20/4/2017 - 18:22:59,6,10,0,0,1952.000000,42.000000,440.000000,20/4/2017 - 18:22:52,6,5,2,1,20/4/2017 - 18:23:1
38,MCTS,72.397003,750.000000,34.000000,385.000000,20/4/2017 - 18:23:14,9,11,8,0,3006.000000,56.000000,650.000000,20/4/2017 - 18:23:37,6,10,8,39,20/4/2017 - 18:24:15
39,MCTS,50.938000,1556.000000,58.000000,820.000000,20/4/2017 - 18:24:52,6,10,4,12,3797.000000,62.000000,915.000000,20/4/2017 - 18:25:8,6,12,2,8,20/4/2017 - 18:25:8
40,MCTS,75.139999,1073.000000,34.000000,531.000000,20/4/2017 - 18:25:43,10,12,8,4,5759.000000,70.000000,744.000000,20/4/2017 - 18:26:25,6,14,8,17,20/4/2017 - 18:26:25
41,MCTS,44.106998,1582.000000,38.000000,410.000000,20/4/2017 - 18:26:54,6,6,5,17,1093.000000,52.000000,423.000000,20/4/2017 - 18:27:9,6,10,2,1,20/4/2017 - 18:27:10
42,GOAP,40.077000,1294.000000,54.000000,636.000000,20/4/2017 - 18:27:51,6,10,1,7,1457.000000,42.000000,590.000000,20/4/2017 - 18:27:36,6,5,4,16,20/4/2017 - 18:27:52
43,GOAP,47.075001,873.000000,50.000000,380.000000,20/4/2017 - 18:28:38,6,10,3,2,2847.000000,52.000000,484.000000,20/4/2017 - 18:28:30,6,5,2,5,20/4/2017 - 18:28:40
44,MCTS,78.759003,755.000000,32.000000,385.000000,20/4/2017 - 18:28:53,12,12,8,0,2869.000000,64.000000,620.000000,20/4/2017 - 18:29:26,6,15,8,29,20/4/2017 - 18:30:1
45,MCTS,100.469002,2487.000000,42.000000,1012.000000,20/4/2017 - 18:30:46,11,20,9,22,2710.000000,56.000000,1005.000000,20/4/2017 - 18:31:44,8,22,8,28,20/4/2017 - 18:31:44
46,MCTS,77.917000,1685.000000,52.000000,685.000000,20/4/2017 - 18:32:9,11,12,8,13,1857.000000,50.000000,683.000000,20/4/2017 - 18:33:4,7,13,9,8,20/4/2017 - 18:33:4
47,GOAP,51.856998,1185.000000,40.000000,465.000000,20/4/2017 - 18:33:19,6,4,8,2,914.000000,44.000000,434.000000,20/4/2017 - 18:33:43,9,10,3,2,20/4/2017 - 18:33:58
48,GOAP,46.098000,755.000000,30.000000,375.000000,20/4/2017 - 18:34:10,6,10,3,0,2510.000000,42.000000,445.000000,20/4/2017 - 18:34:40,6,5,5,0,20/4/2017 - 18:34:45
49,MCTS,85.407997,1410.000000,40.000000,645.000000,20/4/2017 - 18:35:9,12,15,8,8,6524.000000,46.000000,705.000000,20/4/2017 - 18:36:13,7,14,10,12,20/4/2017 - 18:36:13
50,GOAP,40.029999,810.000000,38.000000,370.000000,20/4/2017 - 18:36:53,6,9,2,0,2458.000000,52.000000,475.000000,20/4/2017 - 18:36:45,6,5,2,2,20/4/2017 - 18:36:54
