Game Number,Winner,No. of Wins,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
232,GOAP,134,123.035004,7788.000000,50.000000,470.000000,121.235001,8,22,15,0,7361.000000,46.000000,446.000000,94.218002,6,21,17,0,24/4/2017 - 15:1:9
233,GOAP,135,32.410999,2191.000000,58.000000,393.000000,32.314999,6,9,0,0,1921.000000,32.000000,440.000000,30.454000,6,5,2,0,24/4/2017 - 15:1:43
234,GOAP,136,39.289001,810.000000,44.000000,370.000000,38.264999,6,10,1,0,2236.000000,42.000000,440.000000,29.742001,6,5,3,0,24/4/2017 - 15:2:23
235,MCTS,99,40.166000,2754.000000,42.000000,475.000000,36.307999,6,7,3,0,3119.000000,88.000000,566.000000,40.103001,6,10,1,0,24/4/2017 - 15:3:5
236,GOAP,137,30.138000,1812.000000,56.000000,411.000000,30.072001,6,8,0,0,1587.000000,32.000000,430.000000,30.072001,6,5,1,0,24/4/2017 - 15:3:36
237,MCTS,100,47.418999,2588.000000,50.000000,445.000000,43.319000,6,10,3,0,4280.000000,76.000000,518.000000,47.370998,6,10,3,0,24/4/2017 - 15:4:24
238,MCTS,101,15.421000,722.000000,22.000000,370.000000,9.879000,6,1,0,0,980.000000,30.000000,390.000000,15.341000,5,2,0,0,24/4/2017 - 15:4:40
239,MCTS,102,87.068001,979.000000,30.000000,370.000000,81.061996,12,14,9,0,6544.000000,62.000000,479.000000,86.956001,6,15,11,0,24/4/2017 - 15:6:10
240,GOAP,138,36.845001,792.000000,34.000000,370.000000,35.299000,6,6,3,0,2201.000000,42.000000,475.000000,34.144001,6,5,2,0,24/4/2017 - 15:6:48
241,MCTS,103,54.623001,2824.000000,42.000000,475.000000,48.145000,6,10,5,0,4667.000000,70.000000,500.000000,54.606998,6,10,5,0,24/4/2017 - 15:7:44
242,GOAP,139,65.536003,2612.000000,40.000000,455.000000,56.367001,6,10,8,0,2145.000000,46.000000,345.000000,65.487000,8,10,7,0,24/4/2017 - 15:8:52
243,GOAP,140,42.261002,1775.000000,44.000000,370.000000,42.147999,6,10,2,0,2831.000000,52.000000,474.000000,40.865002,6,5,3,0,24/4/2017 - 15:9:35
244,MCTS,104,19.865999,727.000000,20.000000,370.000000,10.586000,6,2,1,0,1457.000000,42.000000,433.000000,19.818001,6,3,0,0,24/4/2017 - 15:9:56
245,GOAP,141,43.068001,796.000000,40.000000,385.000000,14.668000,6,10,2,0,1994.000000,42.000000,455.000000,37.742001,6,5,5,0,24/4/2017 - 15:10:40
246,MCTS,105,128.292007,5309.000000,40.000000,370.000000,127.422997,12,21,16,0,9525.000000,50.000000,475.000000,126.387001,6,21,18,0,24/4/2017 - 15:12:52
247,GOAP,142,42.827999,755.000000,34.000000,370.000000,42.375999,6,9,3,0,2361.000000,32.000000,440.000000,37.212002,6,5,4,0,24/4/2017 - 15:13:36
248,MCTS,106,43.669998,2331.000000,34.000000,440.000000,38.862999,6,6,5,0,3886.000000,72.000000,512.000000,43.571999,6,10,2,0,24/4/2017 - 15:14:21
249,GOAP,143,58.888000,3673.000000,48.000000,440.000000,58.872002,6,11,5,0,4486.000000,32.000000,430.000000,56.136002,6,10,6,0,24/4/2017 - 15:15:22
250,MCTS,107,37.463001,1164.000000,22.000000,405.000000,13.974000,6,1,6,0,2136.000000,60.000000,391.000000,37.351002,6,8,1,0,24/4/2017 - 15:16:0
251,GOAP,144,42.063999,813.000000,38.000000,370.000000,40.808998,6,7,4,0,2644.000000,52.000000,470.000000,35.049000,6,5,1,0,24/4/2017 - 15:16:44
252,MCTS,108,65.445000,1077.000000,32.000000,370.000000,53.264999,10,10,7,0,4863.000000,60.000000,476.000000,65.292000,6,10,8,0,24/4/2017 - 15:17:51
253,MCTS,109,70.041000,1382.000000,32.000000,385.000000,65.761002,10,10,8,0,6189.000000,50.000000,511.000000,70.009003,6,12,8,0,24/4/2017 - 15:19:3
254,GOAP,145,55.699001,1273.000000,44.000000,394.000000,55.584999,6,7,8,0,2214.000000,34.000000,420.000000,39.831001,6,10,5,0,24/4/2017 - 15:20:0
255,GOAP,146,41.571999,1565.000000,34.000000,370.000000,41.344002,6,10,1,0,2631.000000,32.000000,440.000000,40.375000,6,5,5,0,24/4/2017 - 15:20:43
256,GOAP,147,41.198002,821.000000,38.000000,383.000000,40.241001,6,8,3,0,2750.000000,42.000000,451.000000,35.186001,6,4,2,0,24/4/2017 - 15:21:26
257,GOAP,148,31.719000,1882.000000,46.000000,390.000000,31.671000,6,8,0,0,1756.000000,32.000000,430.000000,30.021000,6,5,2,0,24/4/2017 - 15:21:58
258,GOAP,149,31.208000,1276.000000,50.000000,370.000000,23.246000,6,7,1,0,1782.000000,32.000000,440.000000,23.027000,6,4,2,0,24/4/2017 - 15:22:31
259,GOAP,150,34.081001,1509.000000,44.000000,370.000000,34.016998,6,9,0,0,1881.000000,42.000000,425.000000,30.098000,6,4,3,0,24/4/2017 - 15:23:6
