Game Number,Winner,No. of Wins,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
44,GOAP,26,50.950001,1163.000000,54.000000,370.000000,26.639999,6,10,4,0,3037.000000,62.000000,501.000000,38.983002,6,5,3,0,24/4/2017 - 12:19:20
45,GOAP,27,40.428001,2167.000000,56.000000,370.000000,40.380001,6,9,2,0,2322.000000,32.000000,440.000000,37.536999,6,5,4,0,24/4/2017 - 12:20:1
46,GOAP,28,32.900002,1987.000000,56.000000,370.000000,32.868000,6,9,0,0,1996.000000,32.000000,410.000000,31.111000,6,4,3,0,24/4/2017 - 12:20:35
47,GOAP,29,50.853001,3924.000000,50.000000,480.000000,50.837002,6,11,3,0,3845.000000,32.000000,430.000000,48.936001,6,10,4,0,24/4/2017 - 12:21:28
48,MCTS,19,33.661999,820.000000,30.000000,370.000000,15.361000,6,8,1,0,2274.000000,58.000000,471.000000,32.717999,6,5,0,0,24/4/2017 - 12:22:2
49,GOAP,30,66.968002,3026.000000,40.000000,455.000000,65.767998,6,11,8,0,1113.000000,32.000000,335.000000,65.671997,9,10,7,0,24/4/2017 - 12:23:11
50,MCTS,20,60.977001,2748.000000,38.000000,435.000000,45.270000,8,10,6,0,3422.000000,38.000000,440.000000,60.912998,6,11,6,0,24/4/2017 - 12:24:14
51,GOAP,31,30.551001,831.000000,50.000000,391.000000,30.486000,6,7,1,0,1987.000000,42.000000,425.000000,25.225000,6,4,1,0,24/4/2017 - 12:24:45
52,MCTS,21,22.523001,999.000000,24.000000,370.000000,19.368000,6,3,1,0,1755.000000,52.000000,468.000000,22.474001,6,4,0,0,24/4/2017 - 12:25:9
53,MCTS,22,99.257004,2408.000000,30.000000,420.000000,95.349998,12,14,12,0,7267.000000,62.000000,505.000000,99.240997,7,19,11,0,24/4/2017 - 12:26:51
54,MCTS,23,104.987999,7331.000000,52.000000,472.000000,95.518997,7,18,13,0,7530.000000,46.000000,430.000000,104.861000,6,20,12,0,24/4/2017 - 12:28:39
55,GOAP,32,36.053001,855.000000,50.000000,405.000000,35.619999,6,9,1,0,2257.000000,42.000000,440.000000,27.752001,6,5,2,0,24/4/2017 - 12:29:16
56,GOAP,33,35.488998,2796.000000,60.000000,391.000000,35.360001,6,7,2,0,2186.000000,42.000000,475.000000,33.311001,6,5,2,0,24/4/2017 - 12:29:53
57,MCTS,24,56.756001,1435.000000,34.000000,395.000000,49.984001,9,10,5,0,1943.000000,60.000000,440.000000,55.318001,6,11,5,0,24/4/2017 - 12:30:51
58,MCTS,25,61.501999,4043.000000,34.000000,424.000000,58.801998,6,11,6,0,5883.000000,60.000000,480.000000,61.470001,6,10,7,0,24/4/2017 - 12:31:54
59,MCTS,26,14.302000,722.000000,22.000000,370.000000,9.893000,6,1,0,0,901.000000,36.000000,415.000000,14.215000,3,3,0,0,24/4/2017 - 12:32:9
60,MCTS,27,101.684998,7332.000000,44.000000,455.000000,97.867996,7,17,13,0,4555.000000,58.000000,430.000000,98.732002,6,20,11,0,24/4/2017 - 12:33:54
61,MCTS,28,16.746000,800.000000,20.000000,370.000000,15.775000,6,1,1,0,1148.000000,32.000000,436.000000,16.358999,6,2,0,0,24/4/2017 - 12:34:11
62,MCTS,29,29.447001,727.000000,20.000000,370.000000,9.638000,6,4,2,0,2185.000000,60.000000,473.000000,29.400000,6,5,0,0,24/4/2017 - 12:34:41
63,MCTS,30,39.921001,2388.000000,52.000000,450.000000,38.852001,6,5,4,0,3018.000000,70.000000,528.000000,39.792999,6,10,1,0,24/4/2017 - 12:35:22
64,GOAP,34,30.325001,775.000000,34.000000,385.000000,14.756000,6,6,1,0,1556.000000,38.000000,430.000000,29.865999,6,5,2,0,24/4/2017 - 12:35:54
65,GOAP,35,73.283997,1966.000000,30.000000,390.000000,37.042000,6,11,10,0,4249.000000,72.000000,489.000000,55.405998,6,10,10,0,24/4/2017 - 12:37:9
66,GOAP,36,61.803001,4564.000000,44.000000,443.000000,61.678001,6,10,7,0,4596.000000,42.000000,467.000000,61.088001,6,10,7,0,24/4/2017 - 12:38:13
67,GOAP,37,39.216999,1763.000000,54.000000,370.000000,39.025002,6,10,1,0,2105.000000,42.000000,445.000000,30.854000,6,5,4,0,24/4/2017 - 12:38:53
68,GOAP,38,38.674000,745.000000,40.000000,370.000000,22.174999,6,8,2,0,1422.000000,42.000000,455.000000,21.098000,6,5,4,0,24/4/2017 - 12:39:33
69,MCTS,31,15.626000,727.000000,16.000000,370.000000,10.412000,6,0,1,0,1026.000000,30.000000,416.000000,15.610000,5,2,0,0,24/4/2017 - 12:39:49
70,MCTS,32,41.344002,2733.000000,42.000000,455.000000,39.907001,6,6,4,0,3743.000000,70.000000,519.000000,41.187000,6,8,3,0,24/4/2017 - 12:40:31
71,GOAP,39,45.033001,2315.000000,46.000000,370.000000,44.937000,6,9,3,0,2408.000000,32.000000,440.000000,39.109001,6,5,6,0,24/4/2017 - 12:41:18
72,GOAP,40,70.658997,2370.000000,28.000000,370.000000,65.398003,6,13,8,0,5195.000000,32.000000,440.000000,63.925999,6,12,8,0,24/4/2017 - 12:42:33
73,MCTS,33,35.694000,1038.000000,20.000000,370.000000,21.454000,6,4,4,0,2508.000000,62.000000,475.000000,35.436001,6,5,0,0,24/4/2017 - 12:43:10
74,GOAP,41,46.012001,1504.000000,52.000000,370.000000,45.915001,6,10,3,0,2482.000000,42.000000,459.000000,42.519001,6,5,5,0,24/4/2017 - 12:43:57
75,GOAP,42,45.390999,722.000000,36.000000,370.000000,9.649000,7,8,4,0,3069.000000,42.000000,475.000000,42.514999,6,5,2,0,24/4/2017 - 12:44:44
76,GOAP,43,41.345001,834.000000,28.000000,370.000000,40.340000,6,4,6,0,2035.000000,62.000000,463.000000,34.328999,6,5,1,0,24/4/2017 - 12:45:26
77,MCTS,34,39.907001,2420.000000,50.000000,460.000000,37.195000,6,5,4,0,3324.000000,54.000000,478.000000,39.859001,6,9,2,0,24/4/2017 - 12:46:7
78,MCTS,35,100.440002,5500.000000,48.000000,440.000000,93.530998,8,17,12,0,8498.000000,58.000000,481.000000,100.315002,6,20,11,0,24/4/2017 - 12:47:51
79,GOAP,44,37.021999,739.000000,40.000000,370.000000,35.312000,6,9,1,0,2602.000000,52.000000,464.000000,30.212000,6,5,1,0,24/4/2017 - 12:48:29
80,GOAP,45,39.933998,1083.000000,40.000000,370.000000,37.889000,6,10,1,0,2677.000000,42.000000,465.000000,32.879002,6,5,2,0,24/4/2017 - 12:49:10
81,MCTS,36,102.184998,1980.000000,30.000000,370.000000,82.793999,12,16,12,0,5210.000000,52.000000,470.000000,102.105003,6,15,12,0,24/4/2017 - 12:50:55
82,GOAP,46,42.847000,1318.000000,28.000000,370.000000,41.014999,6,7,4,0,2638.000000,52.000000,450.000000,37.654999,6,5,3,0,24/4/2017 - 12:51:39
83,MCTS,37,27.466999,866.000000,20.000000,370.000000,18.297001,6,5,1,0,2297.000000,52.000000,480.000000,27.402000,6,5,0,0,24/4/2017 - 12:52:7
84,GOAP,47,58.806999,4423.000000,50.000000,430.000000,58.612999,6,11,5,0,4441.000000,42.000000,423.000000,53.958000,6,10,6,0,24/4/2017 - 12:53:8
85,GOAP,48,58.867001,3670.000000,48.000000,446.000000,58.819000,6,11,6,0,2642.000000,40.000000,430.000000,52.418999,6,10,6,0,24/4/2017 - 12:54:9
86,GOAP,49,51.393002,4026.000000,40.000000,448.000000,51.321999,6,9,5,0,3661.000000,32.000000,430.000000,49.049999,6,10,4,0,24/4/2017 - 12:55:1
87,MCTS,38,39.574001,835.000000,20.000000,370.000000,15.678000,6,9,2,0,2780.000000,62.000000,503.000000,39.431000,6,5,0,0,24/4/2017 - 12:55:42
88,MCTS,39,15.367000,772.000000,22.000000,370.000000,14.999000,6,2,0,0,1000.000000,30.000000,390.000000,15.208000,5,2,0,0,24/4/2017 - 12:55:58
89,GOAP,50,37.491001,958.000000,40.000000,370.000000,17.563000,6,10,0,0,2367.000000,52.000000,460.000000,29.742001,6,5,2,0,24/4/2017 - 12:56:37
90,GOAP,51,69.077003,4583.000000,48.000000,450.000000,68.947998,6,10,9,0,2104.000000,32.000000,385.000000,67.709999,11,11,6,0,24/4/2017 - 12:57:48
91,GOAP,52,43.735001,2810.000000,48.000000,400.000000,43.702999,6,10,2,0,2982.000000,42.000000,475.000000,42.116001,6,5,3,0,24/4/2017 - 12:58:33
92,MCTS,40,17.052999,835.000000,20.000000,370.000000,16.174000,6,1,1,0,1178.000000,32.000000,436.000000,17.037001,6,2,0,0,24/4/2017 - 12:58:50
93,GOAP,53,36.943001,1838.000000,54.000000,370.000000,36.847000,6,10,0,0,1859.000000,42.000000,465.000000,31.318001,6,5,4,0,24/4/2017 - 12:59:28
94,MCTS,41,120.138000,6981.000000,40.000000,445.000000,91.711998,7,21,15,0,7180.000000,50.000000,440.000000,119.977997,7,20,16,0,24/4/2017 - 13:1:32
95,GOAP,54,39.287998,807.000000,40.000000,370.000000,14.434000,6,10,1,0,2477.000000,42.000000,445.000000,29.250000,6,5,2,0,24/4/2017 - 13:2:13
96,MCTS,42,86.920998,3049.000000,40.000000,455.000000,43.872002,7,15,10,0,5331.000000,58.000000,375.000000,86.501999,6,18,9,0,24/4/2017 - 13:3:42
97,GOAP,55,31.747999,1222.000000,52.000000,370.000000,31.558001,6,7,1,0,1875.000000,42.000000,440.000000,30.216999,6,5,2,0,24/4/2017 - 13:4:15
98,MCTS,43,46.000999,1049.000000,20.000000,390.000000,19.879000,6,4,7,0,2550.000000,56.000000,433.000000,45.761002,6,10,2,0,24/4/2017 - 13:5:2
99,GOAP,56,35.132000,764.000000,50.000000,370.000000,33.778000,6,7,2,0,2344.000000,42.000000,459.000000,28.639999,6,5,1,0,24/4/2017 - 13:5:38
100,GOAP,57,49.757999,761.000000,40.000000,370.000000,41.721001,6,10,4,0,2568.000000,52.000000,490.000000,45.158001,6,5,4,0,24/4/2017 - 13:6:30
101,GOAP,58,36.851002,1975.000000,50.000000,430.000000,36.787998,6,8,2,0,2311.000000,32.000000,440.000000,34.099998,6,5,3,0,24/4/2017 - 13:7:7
102,GOAP,59,53.101002,3502.000000,38.000000,370.000000,53.053001,6,10,5,0,3801.000000,32.000000,440.000000,51.698002,6,5,8,0,24/4/2017 - 13:8:2
103,GOAP,60,38.479000,1453.000000,44.000000,400.000000,38.415001,6,7,3,0,2070.000000,42.000000,440.000000,37.320999,6,5,4,0,24/4/2017 - 13:8:42
104,GOAP,61,32.020000,1876.000000,56.000000,405.000000,32.002998,6,9,0,0,1801.000000,32.000000,430.000000,29.893999,6,5,2,0,24/4/2017 - 13:9:15
105,MCTS,44,19.181000,1025.000000,30.000000,370.000000,19.149000,6,3,0,0,1432.000000,42.000000,415.000000,19.149000,6,3,0,0,24/4/2017 - 13:9:34
106,MCTS,45,26.058001,986.000000,20.000000,370.000000,19.898001,6,5,1,0,2237.000000,52.000000,450.000000,26.042000,6,4,0,0,24/4/2017 - 13:10:1
107,MCTS,46,15.941000,837.000000,32.000000,370.000000,15.002000,6,2,0,0,985.000000,32.000000,420.000000,14.764000,6,2,0,0,24/4/2017 - 13:10:18
108,GOAP,62,32.146999,1484.000000,44.000000,400.000000,32.098999,6,8,0,0,1826.000000,32.000000,440.000000,29.486000,6,6,1,0,24/4/2017 - 13:10:51
109,GOAP,63,42.325001,2331.000000,50.000000,370.000000,42.195000,6,10,2,0,2956.000000,52.000000,470.000000,34.375000,6,5,2,0,24/4/2017 - 13:11:34
110,GOAP,64,39.679001,1691.000000,38.000000,370.000000,39.520000,6,10,1,0,2106.000000,38.000000,430.000000,37.014000,6,5,4,0,24/4/2017 - 13:12:15
111,MCTS,47,31.973000,810.000000,30.000000,370.000000,15.380000,6,7,1,0,2482.000000,62.000000,473.000000,31.797001,6,5,0,0,24/4/2017 - 13:12:48
112,GOAP,65,64.995003,1831.000000,42.000000,390.000000,64.567001,6,11,7,0,4786.000000,42.000000,460.000000,61.116001,6,10,8,0,24/4/2017 - 13:13:55
113,GOAP,66,41.909000,822.000000,44.000000,370.000000,14.240000,6,10,2,0,2947.000000,52.000000,445.000000,33.681999,6,4,3,0,24/4/2017 - 13:14:38
114,GOAP,67,34.805000,750.000000,50.000000,385.000000,12.500000,6,10,0,0,2137.000000,38.000000,440.000000,28.389000,6,6,1,0,24/4/2017 - 13:15:14
115,MCTS,48,85.696999,1705.000000,24.000000,390.000000,56.136002,10,11,11,0,6039.000000,42.000000,465.000000,77.813004,6,10,8,0,24/4/2017 - 13:16:42
116,MCTS,49,62.390999,3072.000000,48.000000,450.000000,50.624001,6,8,8,0,1946.000000,32.000000,345.000000,62.148998,6,10,7,0,24/4/2017 - 13:17:47
117,GOAP,68,115.814003,7744.000000,44.000000,445.000000,115.587997,7,21,14,0,9186.000000,46.000000,465.000000,111.523003,6,20,15,0,24/4/2017 - 13:19:46
118,GOAP,69,36.926998,1067.000000,70.000000,370.000000,34.625999,6,10,0,0,2064.000000,34.000000,430.000000,33.976002,6,5,4,0,24/4/2017 - 13:20:24
119,MCTS,50,50.759998,2221.000000,26.000000,390.000000,45.445999,6,5,8,0,4217.000000,62.000000,490.000000,50.632999,6,10,4,0,24/4/2017 - 13:21:16
120,MCTS,51,39.549000,2368.000000,36.000000,460.000000,37.081001,6,5,4,0,2866.000000,78.000000,477.000000,39.501999,6,10,1,0,24/4/2017 - 13:21:57
121,GOAP,70,48.561001,797.000000,44.000000,370.000000,48.473999,6,10,4,0,2567.000000,52.000000,470.000000,34.398998,6,5,3,0,24/4/2017 - 13:22:47
122,GOAP,71,41.630001,1284.000000,38.000000,370.000000,41.574001,6,10,2,0,2615.000000,36.000000,440.000000,37.275002,6,5,5,0,24/4/2017 - 13:23:29
123,GOAP,72,39.442001,1243.000000,46.000000,375.000000,39.425999,6,10,1,0,2566.000000,42.000000,440.000000,37.659000,6,5,4,0,24/4/2017 - 13:24:10
124,MCTS,52,32.484001,1437.000000,26.000000,385.000000,16.768000,6,1,4,0,1335.000000,64.000000,458.000000,32.229000,6,7,1,0,24/4/2017 - 13:24:43
125,MCTS,53,42.515999,2804.000000,42.000000,463.000000,37.259998,6,5,5,0,3526.000000,80.000000,511.000000,42.467999,6,10,2,0,24/4/2017 - 13:25:27
126,MCTS,54,73.902000,889.000000,30.000000,370.000000,17.430000,10,12,8,0,6087.000000,62.000000,515.000000,73.837997,6,14,8,0,24/4/2017 - 13:26:43
127,GOAP,73,55.551998,892.000000,32.000000,370.000000,25.767000,6,10,5,0,2909.000000,44.000000,455.000000,46.529999,6,6,8,0,24/4/2017 - 13:27:40
128,GOAP,74,39.964001,1229.000000,42.000000,370.000000,39.707001,6,10,1,0,2541.000000,42.000000,465.000000,37.911999,6,5,3,0,24/4/2017 - 13:28:22
129,MCTS,55,84.098000,2047.000000,30.000000,390.000000,78.416000,9,11,11,0,7707.000000,66.000000,511.000000,84.082001,6,15,10,0,24/4/2017 - 13:29:48
130,GOAP,75,43.464001,2279.000000,40.000000,370.000000,43.400002,6,10,2,0,1883.000000,62.000000,475.000000,27.900000,6,5,4,0,24/4/2017 - 13:30:33
131,GOAP,76,28.851000,1039.000000,42.000000,402.000000,28.771000,6,7,0,0,1561.000000,32.000000,420.000000,26.341999,6,5,1,0,24/4/2017 - 13:31:3
132,MCTS,56,99.622002,2549.000000,40.000000,445.000000,93.246002,12,15,12,0,7588.000000,78.000000,535.000000,99.460999,6,20,11,0,24/4/2017 - 13:32:45
133,MCTS,57,71.594002,2705.000000,40.000000,455.000000,41.069000,7,12,8,0,6339.000000,52.000000,455.000000,71.433998,6,12,9,0,24/4/2017 - 13:33:59
134,GOAP,77,38.082001,1546.000000,44.000000,402.000000,38.049999,6,9,1,0,2196.000000,40.000000,455.000000,35.293999,6,7,2,0,24/4/2017 - 13:34:38
135,MCTS,58,14.892000,722.000000,16.000000,370.000000,9.528000,6,0,1,0,1017.000000,30.000000,412.000000,14.780000,5,2,0,0,24/4/2017 - 13:34:54
136,GOAP,78,38.506001,807.000000,50.000000,370.000000,38.312000,6,10,1,0,2592.000000,42.000000,445.000000,30.802000,6,5,2,0,24/4/2017 - 13:35:33
137,GOAP,79,34.410999,2221.000000,38.000000,435.000000,34.251999,6,5,3,0,2157.000000,32.000000,430.000000,33.049000,6,5,3,0,24/4/2017 - 13:36:9
138,GOAP,80,47.844002,3802.000000,44.000000,381.000000,47.747002,6,10,3,0,3242.000000,32.000000,440.000000,46.820999,6,6,6,0,24/4/2017 - 13:36:58
139,GOAP,81,43.719002,1170.000000,34.000000,370.000000,41.991001,6,6,5,0,3227.000000,42.000000,465.000000,36.979000,6,5,1,0,24/4/2017 - 13:37:43
140,MCTS,59,74.790001,3295.000000,36.000000,370.000000,67.720001,8,11,9,0,4273.000000,54.000000,480.000000,74.741997,6,14,8,0,24/4/2017 - 13:39:0
141,GOAP,82,38.019001,1009.000000,40.000000,370.000000,31.841999,6,6,3,0,2362.000000,52.000000,486.000000,29.332001,6,4,2,0,24/4/2017 - 13:39:39
142,MCTS,60,51.348000,2514.000000,40.000000,445.000000,46.709999,6,10,4,0,4640.000000,52.000000,485.000000,51.316002,6,10,4,0,24/4/2017 - 13:40:32
143,MCTS,61,80.612000,1723.000000,22.000000,370.000000,78.191002,11,14,8,0,3696.000000,56.000000,470.000000,80.406998,6,15,9,0,24/4/2017 - 13:41:55
144,GOAP,83,41.407001,2235.000000,40.000000,405.000000,41.390999,6,10,1,0,1951.000000,52.000000,465.000000,40.238998,6,5,5,0,24/4/2017 - 13:42:38
145,GOAP,84,45.792000,1709.000000,34.000000,395.000000,45.728001,6,10,3,0,1826.000000,52.000000,465.000000,40.824001,6,5,6,0,24/4/2017 - 13:43:25
146,MCTS,62,69.008003,1943.000000,28.000000,390.000000,38.631001,6,11,8,0,4473.000000,62.000000,476.000000,68.959000,6,10,9,0,24/4/2017 - 13:44:36
147,MCTS,63,52.877998,3159.000000,42.000000,455.000000,45.155998,6,11,4,0,4041.000000,64.000000,479.000000,52.846001,6,10,5,0,24/4/2017 - 13:45:30
148,MCTS,64,94.211998,2005.000000,32.000000,370.000000,77.491997,11,16,10,0,6232.000000,52.000000,445.000000,94.179001,6,15,12,0,24/4/2017 - 13:47:7
149,MCTS,65,44.146000,1765.000000,40.000000,370.000000,34.629002,6,10,2,0,2571.000000,42.000000,445.000000,40.508999,6,5,6,0,24/4/2017 - 13:47:52
150,MCTS,66,60.741001,2762.000000,36.000000,460.000000,35.824001,6,11,6,0,4423.000000,60.000000,505.000000,60.581001,6,10,7,0,24/4/2017 - 13:48:55
151,GOAP,85,67.009003,4181.000000,42.000000,417.000000,66.945000,6,11,8,0,4850.000000,52.000000,475.000000,64.400002,6,10,8,0,24/4/2017 - 13:50:4
152,GOAP,86,108.996002,6752.000000,52.000000,480.000000,107.268997,7,20,13,0,7868.000000,52.000000,433.000000,108.950996,6,20,14,0,24/4/2017 - 13:51:56
153,MCTS,67,43.390999,1110.000000,26.000000,370.000000,30.607000,6,7,4,0,3568.000000,52.000000,470.000000,43.278999,6,5,5,0,24/4/2017 - 13:52:40
154,GOAP,87,44.651001,934.000000,34.000000,370.000000,21.277000,6,8,4,0,3051.000000,62.000000,483.000000,41.831001,6,5,2,0,24/4/2017 - 13:53:26
155,MCTS,68,26.547001,983.000000,16.000000,370.000000,20.413000,6,2,3,0,2196.000000,62.000000,505.000000,26.434999,6,5,0,0,24/4/2017 - 13:53:54
156,GOAP,88,46.388000,893.000000,44.000000,370.000000,15.905000,6,10,3,0,2272.000000,52.000000,466.000000,43.525002,6,5,4,0,24/4/2017 - 13:54:42
157,GOAP,89,39.012001,2026.000000,46.000000,450.000000,38.964001,6,10,1,0,2181.000000,36.000000,440.000000,38.082001,6,4,5,0,24/4/2017 - 13:55:22
158,MCTS,69,57.208000,1748.000000,36.000000,370.000000,35.245998,6,10,6,0,4734.000000,42.000000,460.000000,57.048000,6,7,8,0,24/4/2017 - 13:56:21
159,MCTS,70,49.976002,1095.000000,34.000000,370.000000,30.775999,6,10,4,0,1885.000000,46.000000,465.000000,49.959000,10,6,5,0,24/4/2017 - 13:57:12
160,GOAP,90,44.780998,787.000000,50.000000,370.000000,32.790001,6,10,2,0,2067.000000,42.000000,475.000000,32.305000,6,5,5,0,24/4/2017 - 13:57:58
161,MCTS,71,57.595001,939.000000,32.000000,385.000000,46.029999,8,10,5,0,4947.000000,44.000000,468.000000,57.580002,6,7,8,0,24/4/2017 - 13:58:57
162,MCTS,72,16.913000,751.000000,16.000000,370.000000,13.391000,6,1,1,0,1154.000000,32.000000,432.000000,16.864000,6,2,0,0,24/4/2017 - 13:59:15
163,MCTS,73,77.630997,2495.000000,34.000000,370.000000,73.486000,10,10,10,0,4537.000000,56.000000,465.000000,77.582001,6,15,8,0,24/4/2017 - 14:0:35
164,GOAP,91,33.372002,1464.000000,32.000000,370.000000,33.262001,6,6,2,0,2152.000000,42.000000,445.000000,26.957001,6,4,1,0,24/4/2017 - 14:1:9
165,GOAP,92,34.764999,1181.000000,34.000000,375.000000,30.231001,6,8,1,0,2072.000000,32.000000,440.000000,33.840000,6,5,3,0,24/4/2017 - 14:1:45
166,GOAP,93,117.727997,5918.000000,58.000000,455.000000,91.109001,8,21,14,0,6571.000000,48.000000,455.000000,108.996002,6,20,16,0,24/4/2017 - 14:3:46
167,GOAP,94,46.495998,804.000000,50.000000,370.000000,44.506001,6,7,5,0,2987.000000,42.000000,465.000000,36.991001,6,5,2,0,24/4/2017 - 14:4:34
168,GOAP,95,38.250000,855.000000,28.000000,370.000000,15.283000,6,8,2,0,2526.000000,52.000000,440.000000,35.034000,6,5,0,0,24/4/2017 - 14:5:13
169,MCTS,74,71.088997,728.000000,30.000000,370.000000,12.206000,13,11,6,0,1867.000000,50.000000,455.000000,37.074001,6,11,9,0,24/4/2017 - 14:6:26
170,GOAP,96,37.812000,765.000000,34.000000,371.000000,36.070000,6,8,2,0,2312.000000,42.000000,455.000000,28.525999,6,4,3,0,24/4/2017 - 14:7:5
171,GOAP,97,37.853001,1509.000000,44.000000,400.000000,37.709000,6,10,0,0,2420.000000,52.000000,460.000000,36.210999,6,5,2,0,24/4/2017 - 14:7:44
172,GOAP,98,38.511002,1239.000000,50.000000,370.000000,37.965000,6,10,1,0,2556.000000,52.000000,474.000000,37.902000,6,5,2,0,24/4/2017 - 14:8:24
173,MCTS,75,17.563999,965.000000,30.000000,370.000000,17.299000,6,3,0,0,995.000000,30.000000,405.000000,15.095000,6,2,0,0,24/4/2017 - 14:8:42
174,GOAP,99,37.778000,1996.000000,56.000000,370.000000,37.720001,6,10,1,0,2517.000000,62.000000,497.000000,29.514999,6,5,2,0,24/4/2017 - 14:9:21
175,GOAP,100,62.493999,4764.000000,50.000000,450.000000,62.319000,6,11,7,0,4551.000000,42.000000,451.000000,59.542000,6,10,7,0,24/4/2017 - 14:10:25
176,MCTS,76,41.300999,2101.000000,22.000000,390.000000,28.028999,6,1,5,0,1529.000000,74.000000,335.000000,41.189999,6,9,2,0,24/4/2017 - 14:11:8
177,GOAP,101,36.553001,1594.000000,44.000000,370.000000,36.424000,6,10,0,0,2455.000000,32.000000,440.000000,34.342999,6,4,4,0,24/4/2017 - 14:11:45
178,MCTS,77,54.949001,2307.000000,48.000000,436.000000,42.348999,6,11,4,0,4306.000000,52.000000,480.000000,54.772999,6,10,5,0,24/4/2017 - 14:12:42
179,GOAP,102,39.247002,809.000000,50.000000,379.000000,36.775002,6,8,2,0,2206.000000,42.000000,429.000000,26.926001,6,4,3,0,24/4/2017 - 14:13:22
180,GOAP,103,34.320000,1168.000000,40.000000,370.000000,31.856001,6,9,0,0,1967.000000,42.000000,415.000000,24.879000,6,4,2,0,24/4/2017 - 14:13:58
181,GOAP,104,65.302002,2001.000000,40.000000,390.000000,39.971001,6,11,7,0,5311.000000,52.000000,476.000000,64.297997,6,10,8,0,24/4/2017 - 14:15:5
182,MCTS,78,79.625999,3505.000000,36.000000,390.000000,66.676003,9,13,9,0,5523.000000,54.000000,474.000000,79.610001,6,15,8,0,24/4/2017 - 14:16:27
183,MCTS,79,47.959999,1758.000000,36.000000,385.000000,39.716999,7,10,3,0,3045.000000,32.000000,430.000000,47.866001,6,6,6,0,24/4/2017 - 14:17:16
184,GOAP,105,35.716999,1985.000000,40.000000,370.000000,35.638000,6,7,2,0,2056.000000,42.000000,440.000000,33.787998,6,4,3,0,24/4/2017 - 14:17:53
185,GOAP,106,40.209999,727.000000,40.000000,370.000000,10.689000,6,10,1,0,2186.000000,52.000000,484.000000,33.037998,6,5,2,0,24/4/2017 - 14:18:34
186,GOAP,107,31.462999,892.000000,50.000000,370.000000,30.674000,6,7,1,0,1597.000000,32.000000,440.000000,23.433001,6,5,2,0,24/4/2017 - 14:19:7
187,GOAP,108,47.236000,1695.000000,40.000000,390.000000,39.742001,6,10,3,0,3306.000000,42.000000,455.000000,45.929001,6,5,4,0,24/4/2017 - 14:19:55
188,GOAP,109,55.521999,2099.000000,34.000000,374.000000,55.410999,8,10,5,0,3608.000000,32.000000,440.000000,55.331001,6,9,6,0,24/4/2017 - 14:20:53
189,GOAP,110,35.549000,772.000000,40.000000,370.000000,33.094002,6,8,1,0,2352.000000,52.000000,468.000000,28.169001,6,5,2,0,24/4/2017 - 14:21:29
190,GOAP,111,151.046997,9029.000000,42.000000,443.000000,138.546005,8,27,20,0,7679.000000,36.000000,440.000000,139.061005,9,27,19,0,24/4/2017 - 14:24:5
191,MCTS,80,49.118000,898.000000,30.000000,385.000000,15.018000,6,10,4,0,3279.000000,42.000000,435.000000,48.973999,6,9,4,0,24/4/2017 - 14:24:55
192,GOAP,112,50.363998,4493.000000,42.000000,370.000000,50.316002,6,10,4,0,3594.000000,32.000000,440.000000,49.078999,6,7,6,0,24/4/2017 - 14:25:47
193,MCTS,81,48.673000,2795.000000,42.000000,455.000000,38.341999,6,6,6,0,1427.000000,54.000000,437.000000,48.625000,8,10,3,0,24/4/2017 - 14:26:37
194,MCTS,82,38.051998,1697.000000,26.000000,397.000000,22.156000,6,1,5,0,833.000000,60.000000,358.000000,37.233002,6,9,1,0,24/4/2017 - 14:27:16
195,MCTS,83,82.389000,2064.000000,36.000000,375.000000,42.132999,9,15,8,0,4949.000000,46.000000,455.000000,82.342003,6,15,9,0,24/4/2017 - 14:28:41
196,MCTS,84,48.659000,2392.000000,50.000000,466.000000,39.596001,6,9,4,0,4347.000000,56.000000,498.000000,48.561001,6,10,3,0,24/4/2017 - 14:29:31
197,GOAP,113,33.433998,1620.000000,54.000000,370.000000,33.417999,6,8,1,0,1891.000000,42.000000,440.000000,30.774000,6,5,2,0,24/4/2017 - 14:30:6
