Game Number,Winner,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
36,MCTS,50.792999,882.000000,32.000000,435.000000,20/4/2017 - 20:25:4,6,10,4,2,2552.000000,52.000000,831.000000,20/4/2017 - 20:25:27,7,8,2,32,20/4/2017 - 20:25:29
37,GOAP,63.605000,4750.000000,54.000000,1040.000000,20/4/2017 - 20:26:34,6,11,7,12,1477.000000,52.000000,774.000000,20/4/2017 - 20:25:56,6,10,8,24,20/4/2017 - 20:26:34
38,GOAP,37.486000,763.000000,44.000000,370.000000,20/4/2017 - 20:27:12,6,8,2,0,2282.000000,42.000000,475.000000,20/4/2017 - 20:27:3,6,5,2,0,20/4/2017 - 20:27:13
39,MCTS,71.987000,2108.000000,46.000000,564.000000,20/4/2017 - 20:27:56,9,11,8,26,2042.000000,54.000000,753.000000,20/4/2017 - 20:28:27,6,13,8,12,20/4/2017 - 20:28:27
40,GOAP,39.674000,1113.000000,54.000000,505.000000,20/4/2017 - 20:29:1,6,9,2,4,1897.000000,52.000000,485.000000,20/4/2017 - 20:28:51,6,5,4,3,20/4/2017 - 20:29:7
41,GOAP,131.654999,2378.000000,60.000000,922.000000,20/4/2017 - 20:31:23,16,31,8,34,4853.000000,66.000000,1155.000000,20/4/2017 - 20:31:11,6,20,17,27,20/4/2017 - 20:31:23
42,GOAP,51.000000,732.000000,30.000000,370.000000,20/4/2017 - 20:31:34,6,10,4,0,2063.000000,52.000000,500.000000,20/4/2017 - 20:31:52,6,5,6,0,20/4/2017 - 20:32:15
43,MCTS,72.419998,740.000000,30.000000,385.000000,20/4/2017 - 20:32:28,12,10,8,0,6349.000000,72.000000,512.000000,20/4/2017 - 20:33:29,6,12,8,0,20/4/2017 - 20:33:30
44,GOAP,89.167999,2443.000000,56.000000,1071.000000,20/4/2017 - 20:35:1,9,17,9,19,3723.000000,52.000000,1029.000000,20/4/2017 - 20:34:42,6,21,5,30,20/4/2017 - 20:35:1
45,MCTS,98.710999,1759.000000,50.000000,867.000000,20/4/2017 - 20:35:37,10,20,9,28,4348.000000,72.000000,1031.000000,20/4/2017 - 20:36:42,6,21,9,42,20/4/2017 - 20:36:43
46,GOAP,95.633003,7185.000000,62.000000,1015.000000,20/4/2017 - 20:38:21,7,21,8,17,1484.000000,42.000000,780.000000,20/4/2017 - 20:38:5,10,19,9,22,20/4/2017 - 20:38:21
47,GOAP,115.415001,4398.000000,54.000000,893.000000,20/4/2017 - 20:39:33,11,22,12,71,3729.000000,52.000000,962.000000,20/4/2017 - 20:40:8,11,20,11,9,20/4/2017 - 20:40:20
48,MCTS,33.755001,1280.000000,28.000000,421.000000,20/4/2017 - 20:40:37,11,4,0,13,1421.000000,66.000000,570.000000,20/4/2017 - 20:40:54,6,7,1,1,20/4/2017 - 20:40:54
49,MCTS,16.090000,727.000000,22.000000,370.000000,20/4/2017 - 20:41:5,6,1,1,0,1082.000000,32.000000,420.000000,20/4/2017 - 20:41:11,6,2,0,0,20/4/2017 - 20:41:11
50,MCTS,51.438999,1563.000000,38.000000,785.000000,20/4/2017 - 20:41:46,6,10,4,10,2479.000000,66.000000,903.000000,20/4/2017 - 20:42:4,6,10,4,18,20/4/2017 - 20:42:4
